Name,Artist,Album Name,Album Release Date
The Nights,Avicii,The Days / Nights,2014-01-01
Push (feat. Andrew Wyatt),"A-Trak,Andrew Wyatt",Push,2014-10-29
Utopia (feat. Dominique Young Unique) - Vocal Edit,"Bang La Decks,Dominique Young Unique",Utopia (feat. Dominique Young Unique),2014-06-02
L.A.F,BROODS,L.A.F,2014-07-15
Cocoon,Catfish and the Bottlemen,The Balcony,2015-01-06
Uh la la,ChocQuibTown,Eso Es Lo Que Hay,2012-10-02
Crystal Ball,Death From Above 1979,The Physical World,2014-09-09
Tunnel Vision (feat. Some Kinda Wonderful),"Dirty South,SomeKindaWonderful",With You,2014-11-18
All Or Nothing (feat. Diplo & Bunji Garlin),"Elliphant,Diplo,Bunji Garlin",Look Like You Love It,2014-04-01
Purple Light (feat. Doja Cat),"Elliphant,Doja Cat",One More,2014-10-13
Levanta e Anda,Emicida,O Glorioso Retorno de Quem Nunca Esteve Aqui,2014-01-26
Come Alive (Shining),FMLYBND,Back to Life EP,2014-10-07
Are You What You Want to Be?,Foster The People,Supermodel,2014-03-14
16 Years,The Griswolds,Be Impressive,2014-08-25
Tongues,"Joywave,KOPPS",How Do You Feel?,2014-03-11
Busy Earnin',Jungle,Jungle,2014-07-15
stevie,Kasabian,48:13,2014-10-07
Cumbia del Corazon,KINSKI GALLO,Venado,2014-11-04
Around Town,The Kooks,Listen,2014-01-01
Walk,Kwabs,Walk,2014-09-26
Palm Trees,Lowell,We Loved Her Dearly,2014-09-16
We Are Done,The Madden Brothers,We Are Done,2014-06-02
Imperium,Madeon,Imperium,2014-11-02
Tonight,Magic Man,Before the Waves,2014-07-08
Down By The River,Milky Chance,Stolen Dance,2014-05-01
The Valleys,The Mountains,"The Mountains, The Valleys, The Lakes",2014-01-24
Agiborê (Fatboy Slim Presents MPB4),"MPB4,DJ Marky",Fatboy Slim Presents Bem Brasil,2014-01-01
When the Day Comes,Nico & Vinz,Black Star Elephant,2014
Everlasting,Polock,Rising Up,2014-05-06
Out Of The Blue,Prides,Out Of The Blue,2014-10-20
My Type,Saint Motel,My Type EP,2014-08-16
Wild Heart,Saint Raymond,Fall At Your Feet,2014-11-28
Brasil,Sante Les Amis,Sudamericana,2014-05-27
Sunrise,Slaptop,Sunrise,2014-06-17
Sunshine,Teddybears,Sunshine,2014-06-03
Pressure,"Tensnake,THABO",Glow,2014-01-01
Super Critical,The Ting Tings,Super Critical,2014-10-27
Water Fountain,Tune-Yards,Nikki Nack,2014-05-06
Mess Is Mine,Vance Joy,Dream Your Life Away,2014-09-08
Move with You,Jacob Banks,Move With You,2014-08-04
